University/College Name,School Link,City,State,Name of the state,Control,Region,Accessible to Metropolitan Area,Setting,Institution size,Coeducational or Single-sex?,HBCU?,Primary Focus,Undergraduate?,Where do most students live?,Religious?,Tuition and fees without aid,Room and board,Total cost of attendance without aid,Cost of Attendance from year,Types of Aid for international students,Number of international students awarded financial aid/scholarships,Percentage of International students who receive aid,Average amount awarded,Average cost in 2023-2024 after aid (merit or need),Source,Total awarded in millions,Meets full demonstrated need?,Amount of largest Merit Scholarship,Scholarship's Name and Information,Scholarship's Link,Scholarship's Information,2024-2025 adjusted tuition after Merit Scholarship,2024-2025 cost of attendance after largest Merit Scholarship,How to apply,Acceptance rate
California State University-east Bay,https://www.csueastbay.edu,Hayward,CA,California,Public,West Coast,SF/Silicon Valley,Suburb: Large,10K - 20K,Coeducational,No,Balanced,High,Off-campus,0-None,$18.935,$15.402,$38.337,23-24,Pending,No data,,No data,,,,N/A,,,,,,,-,96%
California State University-Fresno,https://www.fresnostate.edu,Fresno,CA,California,Public,West Coast,,City: Large,20K+,Coeducational,No,Balanced,Very High,Off-campus,0-None,$20.780,$17.998,$34.494,23-24,Merit,,No data,No data,No data,,,N/A,OOS waiver,Dean's Scholarship Tuition Waiver,https://cge.fresnostate.edu/international/future/fees/financialassistance.html,"A scholarship for newly admitted international undergraduate students. Requires a separate application process, including an essay. Awarded based on academic merit.",$7.340,$29.338,Automatic consideration,96%
California State University-Fullerton,https://www.fullerton.edu,Fullerton,CA,California,Public,West Coast,"Los Angeles, CA",Suburb: Large,20K+,Coeducational,No,Balanced,Very High,Off-campus,0-None,$20.070,$18.898,$42.968,24-25,Limited,574,"80,7%",$2.755,$38.546,CDS24,$1.6m,N/A,N/A (enrolled),,,,,,Requires application,"86,7%"
California State University-Long Beach,https://www.csulb.edu,Long Beach,CA,California,Public,West Coast,"Los Angeles, CA",City: Large,20K+,Coeducational,No,Balanced,High,Off-campus,0-None,$18.294,$16.666,$38.960,24-25,Limited,410,"27,2%",$4.358,,CDS24,$0.2m,N/A,N/A (enrolled),,,,,,Requires application,"47,1%"
California State University-Los Angeles,https://www.calstatela.edu,Los Angeles,CA,California,Public,West Coast,"Los Angeles, CA",City: Large,20K+,Coeducational,No,Balanced,High,Off-campus,0-None,$16.356,$18.658,$39.014,24-25,Limited,36,"3,6%",$10.413,,CDS24,$0.4m,N/A,N/A (enrolled),,,,,,Requires application,"91,9%"
California State University-Northridge,https://www.csun.edu,Northridge,CA,California,Public,West Coast,"Los Angeles, CA",City: Large,20K+,Coeducational,No,Balanced,High,Off-campus,0-None,$18.975,$20.306,$43.281,24-25,None,,,,,,,N/A,,,,,,,,"92,2%"
California State University-Sacramento,https://www.csus.edu,Sacramento,CA,California,Public,West Coast,SF/Silicon Valley,City: Large,20K+,Coeducational,No,Balanced,Very High,Off-campus,0-None,$20.618,$16.042,$40.660,24-25,None,,,,,,,N/A,,,,,,,,"93,2%"
California State University-San Bernardino,https://www.csusb.edu,San Bernardino,CA,California,Public,West Coast,"Los Angeles, CA",City: Midsize,10K - 20K,Coeducational,No,Balanced,High,On-campus,0-None,$18.173,$15.002,$37.175,24-25,None,159,"77,5%",$4.337,,USN25,$0.7m,N/A,,,,,,,,"89,7%"
Calvin University,https://www.calvin.edu,Grand Rapids,MI,Michigan,Private,Midwest (Great Lakes),,City: Midsize,1K - 9K,Coeducational,No,Balanced,Very High,Off-campus,4-Moderately,$39.350,$12.120,$55.470,24-25,Both,366,"97,9%",$28.325,$26.295,CDS24,$10.4m,No,$20.000,Trustee Scholarship,https://calvin.edu/offices-services/financial-aid/types/scholarships/academic-scholarships/index.html,The highest merit-based academic scholarship. Students are automatically considered when they apply for admission. Based on unweighted GPA and test scores (if provided). Renewable.,$19.350,$35.470,Automatic consideration,"71,3%"
Cameron University,https://www.cameron.edu,Lawton,OK,Oklahoma,Public,South (Central),,City: Small,1K - 9K,Coeducational,No,Balanced,Very High,On-campus,0-None,$16.320,$7.381,$29.203,23-24,Merit,54,"59,5%",$17.617,$11.586,USN25,$1.0m,N/A,,,,,,,-,100%
Campbell University,https://www.campbell.edu,Buies Creek,NC,North Carolina,Private,Southeast,,Town: Fringe,5K - 10K,Coeducational,No,Professional,Majority,On-campus,5-Very,$41.600,$15.200,$60.800,24-25,Pending,No data,,No data,,,,,,,,,,,-,94%
Canisius College,https://www.canisius.edu,Buffalo,NY,New York,Private,Northeast (Mid-Atlantic),,City: Large,1K - 9K,Coeducational,No,Balanced,High,On-campus,3-Somewhat,$34.200,$13.560,$51.760,24-25,Merit,106,"100,0%",$26.969,$22.911,CDS24,$2.9m,N/A,,,,,,TBD,-,"81,5%"
Carleton College,https://www.carleton.edu,Northfield,MN,Minnesota,Private,Midwest (Great Plains),,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$68.892,$17.586,$90.478,24-25,Both,90,"45,5%",$62.637,$23.530,CDS24,$5.6m,Yes (Need-aware),Full ride+stipend,Starr Scholarship,https://www.carleton.edu/international/applying/looking/scholarship/,Provides comprehensive financial support for talented students from Asia. Applicants must demonstrate exceptional academic and personal promise. A separate application is not required but students must indicate interest.,$0,$2.000,Automatic consideration,"22,3%"
Carnegie Mellon University,https://www.cmu.edu,Pittsburgh,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),,City: Large,10K - 20K,Coeducational,No,Arts and Sciences,Majority,On-campus,0-None,$65.636,$18.166,$87.802,24-25,None,,,,,,,N/A,,,,,,,,"11,5%"
Carroll College,https://www.carroll.edu,Helena,MT,Montana,Private,West (Rocky Mountains),,City: Small,1K - 9K,Coeducational,No,Balanced,Very High,On-campus,3-Somewhat,$41.484,$11.548,$57.032,24-25,Both,22,FLAG,$41.013,$14.963,USN25,,,,,,,,,-,73%
Carroll University,https://www.carrollu.edu,Waukesha,WI,Wisconsin,Private,Midwest (Great Lakes),,City: Small,1K - 9K,Coeducational,No,Professional,High,On-campus,2-Slightly,$38.890,$11.530,$54.420,24-25,Merit,77,"91,7%",$29.776,$24.794,USN25,$2.3m,N/A,Full Tuition,McAllister Scholarship,https://www.carrollu.edu/financial-aid/undergraduate-scholarships/macallister,"A competitive, full-tuition scholarship. Requires a separate application, essay, and an on-campus competition for finalists. Focuses on academics, leadership, and service.",$0,$15.530,By invitation only,58%
Case Western Reserve University,https://www.case.edu,Cleveland,OH,Ohio,Private,Midwest (Great Lakes),,City: Large,10K - 20K,Coeducational,No,Balanced,Minority,On-campus,0-None,$66.605,$18.430,$89.035,24-25,Both,294,"36,0%",$37.878,$47.840,CDS24,$11.1m,Yes (Need-aware),Full Tuition,Scholarship Competitions,https://case.edu/admission/tuition-aid/scholarships,"Offers various competitive scholarships, including some full-tuition awards. Requires a separate application and participation in a scholarship competition weekend for finalists.",$0,$22.430,Requires application,"28,7%"
Catawba College,https://www.catawba.edu,Salisbury,NC,North Carolina,Private,Southeast,,Suburb: Large,1K - 9K,Coeducational,No,Balanced,Very High,On-campus,2-Slightly,$34.300,$13.200,$51.500,24-25,Both,64,"98,5%",$33.002,$16.948,CDS24,$2.1m,No,Full Tuition,"Socratic, Spirit of Catawba, Hobgood Scholarships",https://catawba.edu/catawbascholars/,These are part of the Catawba College Scholars Program. Requires nomination (self-nomination is accepted) and a separate application. Finalists are invited to compete on campus.,$0,$17.200,Requires nomination,"77,7%"
Central Michigan University,https://www.cmich.edu,Mount Pleasant,MI,Michigan,Public,Midwest (Great Lakes),,Town: Distant,10K - 20K,Coeducational,No,Professional,High,On-campus,0-None,$15.480,$12.564,$32.044,24-25,Merit,126,"47,0%",$5.502,$24.988,CDS24,$0.7m,N/A,Full ride,Centralis Scholar Award,https://www.cmich.edu/admissions-aid/international-students/scholarships/international-scholarships,"This appears to be primarily for domestic students. International students are considered for the International President's Award, a merit-based scholarship, upon admission. No separate application needed.",$0,$4.000,Requires application,91%
Central Washington University,https://www.cwu.edu,Ellensburg,WA,Washington,Public,West Coast,,Town: Distant,5K - 10K,Coeducational,No,Professional,Very High,On-campus,0-None,$27.511,$16.480,$47.991,24-25,Merit,596,"89,7%",$7.630,$39.455,CDS24,$7.4m,N/A,$11.000,International Student Scholarships,https://www.cwu.edu/admissions-aid/apply/additional-resources/international-financial-resources.php,A range of scholarships are available for new and continuing international students. Requires a separate general scholarship application through the university's scholarship portal.,$16.511,$36.991,Automatic consideration,"90,5%"
Centre College,https://www.centre.edu,Danville,KY,Kentucky,Private,Southeast,,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,$52.820,$13.940,$70.760,24-25,Both,64,"100,0%",$47.939,$20.381,USN25,$3.1m,No,Full ride+stipend,Lincoln Scholarship,https://www.centre.edu/admission-aid/scholarships-fellowships,A premier scholarship program for students who demonstrate high academic achievement and leadership. Automatic consideration for top applicants; selected students are invited to apply.,$0,$2.000,Requires application,56%
Chapman University,https://www.chapman.edu,Orange,CA,California,Private,West Coast,"Los Angeles, CA",City: Midsize,5K - 10K,Coeducational,No,Balanced,High,On-campus,2-Slightly,$64.984,$17.814,$86.798,24-25,Merit,123,"56,4%",$19.541,$64.621,CDS24,$2.4m,N/A,$36.000,Not specified,https://www.chapman.edu/admission/undergraduate/how-to-apply/international-students/tuition-and-costs.aspx,"All undergraduate applicants, including international students, are automatically considered for merit-based scholarships based on their admission application. No separate application is required.",$28.984,$50.798,Automatic consideration,56%
Chatham University,https://www.chatham.edu,Pittsburgh,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),,City: Large,1K - 9K,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,$45.126,$13.600,$62.726,24-25,Both,35,"89,7%",$24.940,$37.194,CDS24,$0.9m,No,Full Tuition,Presidential Scholarship and Rachel Carson Scholarship,https://www.chatham.edu/admission-and-aid/undergraduate/scholarships-and-grants/index.html,"Both are competitive, full-tuition scholarships. A separate application is required for each, and finalists must attend a Scholarship Interview Day. Open to first-year international students.",$0,$17.600,Requires application,"80,9%"
Christian Brothers University,https://www.cbu.edu,Memphis,TN,Tennessee,Private,Southeast,,City: Large,1K - 9K,Coeducational,No,Professional,High,On-campus,3-Somewhat,$38.420,$9.410,$51.830,24-25,Merit,72,"78,7%",$31.735,$20.296,USN25,$2.3m,N/A,,,,,,,-,88%
Claremont McKenna College,https://www.cmc.edu,Claremont,CA,California,Private,West Coast,"Los Angeles, CA",Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,0-None,$67.980,$20.830,$92.810,24-25,Both,42,"21,1%",$71.102,$16.698,CDS24,$3.0m,Yes (Need-aware),Full Tuition,Seaver Scholars and Interdisciplinary Science Scholars,https://www.cmc.edu/admission/scholarships,These are merit-based scholarship programs for students with exceptional academic and leadership potential. No separate application is required; candidates are selected from the pool of regular decision applicants.,$0,$24.830,Automatic consideration,"11,1%"
Clark University,https://www.clarku.edu,Worcester,MA,Massachusetts,Private,Northeast (New England),"Boston, MA",City: Midsize,1K - 9K,Coeducational,No,Arts and Sciences,Majority,On-campus,0-None,$58.467,$12.500,$74.967,24-25,Both,105,"67,3%",$27.722,$43.128,CDS24,$2.9m,No,Full ride,Presidential Scholarship,https://www.clarku.edu/offices/financial-aid/prospective-students/international-students/first-year-scholarships/,One of Clark's most prestigious scholarships. No separate application required; students are selected based on the strength of their admission application. Focuses on students who will be leaders at Clark and beyond.,$0,$4.000,Requires application,42%
Clarkson University,https://www.clarkson.edu,Potsdam,NY,New York,Private,Northeast (Mid-Atlantic),,Town: Remote,1K - 9K,Coeducational,No,Professional,High,On-campus,0-None,$59.398,$19.094,$82.492,24-25,Merit,94,"87,0%",$37.448,$41.518,USN25,$3.5m,N/A,,,,,,TBD,-,77%
Clemson University,https://www.clemson.edu,Clemson,SC,South Carolina,Public,Southeast (Deep South),,Suburb: Midsize,20K+,Coeducational,No,Professional,High,On-campus,0-None,$40.866,$13.284,$58.150,24-25,None,,,,,,,N/A,,,,,,,,"8,2%"
Coastal Carolina University,https://www.coastal.edu,Conway,SC,South Carolina,Public,Southeast (Deep South),,City: Small,10K - 20K,Coeducational,No,Balanced,Very High,On-campus,0-None,$29.628,$13.100,$46.728,24-25,Merit,72,"94,7%",$26.693,$18.353,CDS24,$1.9m,N/A,$18.000,Presidential Scholarship,https://www.coastal.edu/admissions/meritawardsintl/,The highest merit award for international students. Awarded automatically based on academic criteria (GPA and test scores) from the admission application. No separate application is needed.,$11.628,$28.728,Automatic consideration,"80,2%"
Coe College,https://www.coe.edu,Cedar Rapids,IA,Iowa,Private,Midwest (Great Plains),,City: Midsize,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,$54.666,$11.790,$70.456,24-25,Merit,73,"100,0%",$40.683,,USN25,$3.0m,N/A,Full Tuition,Distinguished Trustee Scholarship,https://www.coe.edu/admission/first-year-students/scholarships-awards,The top Merit Scholarship awarded to first-year students. Students are automatically considered based on their application for admission.,$0,$15.790,By invitation only,71%
Coker College,https://www.coker.edu,Hartsville,SC,South Carolina,Private,Southeast (Deep South),,Town: Distant,1K - 9K,Coeducational,No,Balanced,High,On-campus,1-Historically,$31.854,$9.892,$45.746,23-24,Pending,No data,,No data,,,,,,,,,,,-,94%
Colby College,https://www.colby.edu,Waterville,ME,Maine,Private,Northeast (New England),,Town: Remote,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$69.600,$17.890,$91.490,24-25,Need,189,"79,7%",$72.720,$15.000,CDS24,$13.7m,Yes (Need-aware),,,,,,,-,"6,6%"
Colby-Sawyer College,https://www.colby-sawyer.edu,New London,NH,New Hampshire,Private,Northeast (New England),"Boston, MA",Rural: Remote,<1K,Coeducational,No,Professional,Very High,On-campus,1-Historically,$19.126,$17.364,$40.490,24-25,Merit,No data,,No data,,,,N/A,$10.000,Merit Scholarship,https://colby-sawyer.edu/financial-aid/scholarships-awards,"All applicants are automatically considered for merit-based scholarships, such as the Founder's Scholarship, based on their academic record. No separate application is necessary.",$9.126,$30.490,Automatic consideration,75%
Colgate University,https://www.colgate.edu,Hamilton,NY,New York,Private,Northeast (Mid-Atlantic),,Rural: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,$70.306,$17.610,$91.916,24-25,Need,130,"50,0%",$73.422,$14.392,CDS24,$9.5m,Yes (Need-aware),,,,,,,-,"12,0%"
College of Charleston,https://www.cofc.edu,Charleston,SC,South Carolina,Public,Southeast (Deep South),,City: Midsize,10K - 20K,Coeducational,No,Balanced,Very High,On-campus,1-Historically,$38.296,$14.332,$56.628,24-25,Merit,49,"56,3%",$8.658,$46.232,CDS24,$0.4m,N/A,,,,,,TBD,-,"72,0%"
College Of Saint Mary,https://www.csm.edu,Omaha,NE,Nebraska,Private,Midwest (Great Plains),,City: Large,<1K,Women's,No,Professional,Majority,On-campus,3-Somewhat,$24.510,$9.084,$37.594,24-25,Merit,11,"100,0%",$18.326,$17.664,USN25,,N/A,,,,,,,-,65%
College of St. Benedict,https://www.csbsju.edu,Saint Joseph,MN,Minnesota,Private,Midwest (Great Plains),,Suburb: Midsize,1K - 9K,Women's,No,Arts and Sciences,Exclusively,On-campus,3-Somewhat,$55.756,$12.550,$72.306,24-25,Both,43,"98,4%",$41.743,$28.301,USN25,$1.8m,No,,,,,,TBD,-,85%
College of St. Scholastica,https://www.css.edu,Duluth,MN,Minnesota,Private,Midwest (Great Plains),,City: Small,1K - 9K,Coeducational,No,Professional,Majority,On-campus,3-Somewhat,$41.778,$11.830,$57.608,24-25,Need,73,"100,0%",$30.518,$25.316,USN25,,,,,,,,,-,94%
College of the Atlantic,https://www.coa.edu,Bar Harbor,ME,Maine,Private,Northeast (New England),,Rural: Remote,<1K,Coeducational,No,Arts and Sciences,Very High,On-campus,0-None,$47.997,$10.404,$62.401,24-25,Limited,88,"100,0%",$50.199,$10.081,CDS24,$4.4m,N/A,Demonstrated Need,,,,,,Requires nomination,"68,6%"
