University/College Name,City,State,Name of the state,Control,Region,Popular Metropolitan Area,Setting,Institution size,Coeducational or Single-sex?,HBCU?,Primary Focus,Undergraduate?,Where do most students live?,Religious?,Budget category,Tuition and fees without aid,Room and board,Total cost of attendance without aid,Types of Aid for international students,Number of International Students awarded financial aid/scholarships,Percentage of International students who receive aid,Average amount awarded,Average cost in 2023-2024 after aid (merit or need),Total awarded in millions,Meets full demonstrated need?,Amount of largest Merit Scholarship,Scholarship's Name,Scholarship's Link,Scholarship's Information,2024-2025 adjusted tuition after scholarship,2024-2025 cost of attendance after largest Merit Scholarship,How to apply,Acceptance rate,International admission rate,Yield (approximate),International yield,Class of 2027 - international applications,Class of 2027 - international students admitted,Class of 2027 international accepted offer/enrolled,Regular Decision acceptance rate,early plan offered?,Early Decision 2 offered?,Source_List
College of the Holy Cross,Worcester,MA,Massachusetts,Private,Northeast (New England),"Boston, MA",City: Midsize,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,3-Somewhat,$0,$64.500,$18.820,$87.320,Need,41,47%,$81.875,$725,$0.1m,Yes (Need-aware),,,,,,,-,"21,1%","10,5%",45%,29%,928,97,28,17%,Early Decision only,Yes,early_admission
College of William and Mary,Williamsburg,VA,Virginia,Public,Southeast,,Suburb: Small,5K - 10K,Coeducational,No,Arts and Sciences,High,On-campus,1-Historically,$30.000,$50.752,$16.182,$70.934,Merit,,,,,,N/A,$40.000,Monroe Scholars Program,https://www.wm.edu/as/monroescholars/,A select group of about 100 freshmen are invited to the program. Selection is based on the admission application. Scholars receive a research grant and special advising. No separate application required.,$10.752,$30.934,Automatic consideration,"33,0%",,28%,-,,-,-,32%,Early Decision only,Yes,early_admission
Colorado College,Colorado Spring,CO,Colorado,Private,West (Rocky Mountains),,City: Large,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,0-None,$0,$70.734,$16.020,$90.754,Need,61,57%,$60.736,$25.572,$3.7m,Yes (Need-aware),,,,,,,-,"20,0%","8,8%",34%,17%,1586,139,24,,Early Action Only,Yes,early_admission
Colorado School of Mines,Golden,CO,Colorado,Public,West (Rocky Mountains),,Suburb: Large,5K - 10K,Coeducational,No,Professional,High,On-campus,0-None,$45.000,$44.376,$16.820,$65.196,Merit,28,18%,$23.037,$42.159,$0.6m,N/A,$8.000,Merit-based scholarship,https://finaid.mines.edu/scholarships/,All applicants are automatically considered for merit awards (President's and Provost's Scholarships) based on the admission application. Other competitive scholarships like the Harvey Scholarship require the General Scholarship Application.,$36.376,$57.196,Automatic consideration,60%,40%,25%,-,,-,,60%,Both,,early_admission
Colorado State University-Fort Collins,Fort Collins,CO,Colorado,Public,West (Rocky Mountains),,City: Midsize,20K+,Coeducational,No,Balanced,High,On-campus,0-None,$45.000,$34.751,$16.817,$55.568,Merit,256,44%,$13.909,$39.462,$3.6m,N/A,$12.000,Undergraduate international scholarship,https://international.colostate.edu/iec/international-admissions/scholarships-and-tuition/,International students are automatically considered for merit-based awards like the Green and Gold Scholarship based on their application for admission; no separate application is needed.,$22.751,$43.568,Automatic consideration,"89,6%","42,0%",16%,23%,1121,471,106,"79,9%",Early Action Only,,early_admission
Columbia University (College and SeaS),New York,NY,New York,Private,Northeast (Mid-Atlantic),New York City,City: Large,20K+,Coeducational,No,Arts and Sciences,Minority,On-campus,1-Historically,$0,$71.845,$17.580,$93.425,Need,227,22%,$83.347,$5.110,$18.9m,Yes (Need-aware),,,,,,,,"3,9%","2,6%",64%,71%,13025,337,240,"2,8%",Early Decision only,,early_admission
Connecticut College,New London,CT,Connecticut,Private,Northeast (New England),New York City,City: Small,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,Off-campus,0-None,$0,$67.242,$18.558,$89.800,Both,120,99%,$59.345,$27.352,$7.1m,Yes (Need-aware),$34.000,Founders Scholarship,https://www.conncoll.edu/admission/scholarships-and-grants/,The Founders Scholarship is a premier merit-based scholarship. Students are automatically considered when they apply for admission. No separate application is required.,$33.242,$55.800,Automatic consideration,"38,3%","3,9%",15%,25%,2856,110,27,"37,5%",Early Decision only,Yes,early_admission
Cooper Union for Adv. of Sci. & Art,New York,NY,New York,Private,Northeast (Mid-Atlantic),New York City,City: Large,<1K,Coeducational,No,Professional,Very High,On-campus,0-None,$0,$46.820,$19.090,$69.910,Both,109,100%,$24.616,$44.854,$2.7m,Yes (Need-blind),50% tuition,Half-tuition scholarship,https://cooper.edu/admissions/afford,All admitted undergraduate students receive a half-tuition scholarship. Financial aid is need-based to cover remaining costs. The award is automatic with admission.,$23.410,$46.500,Automatically Awardarded,19%,18%,53%,-,,-,,19%,Early Decision only,,early_admission
Cornell University,Ithaca,NY,New York,Private,Northeast (Mid-Atlantic),,City: Small,20K+,Coeducational,No,Balanced,Majority,On-campus,0-None,$0,$69.314,$19.428,$92.742,Both,334,28%,$83.060,$5.508,$27.7m,Yes (Need-aware),Demonstrated Need,Tata Scholarship,https://admissions.cornell.edu/how-to-apply/first-year-international-applicants,This is a need-based scholarship for undergraduate students from India. Applicants must apply for financial aid along with their admission application to be considered.,$0,,Automatic consideration,"7,9%","2,8%",66%,75%,16839,478,358,"6,3%",Early Decision only,,early_admission
Creighton University,Omaha,NE,Nebraska,Private,Midwest (Great Plains),,City: Large,5K - 10K,Coeducational,No,Professional,Majority,Off-campus,3-Somewhat,$20.000,$48.856,$13.652,$66.508,Merit,71,84%,$41.874,$21.916,$3.0m,N/A,Full Tuition,"Scott Scholarship, Next Generation Leaders",https://www.creighton.edu/admission-aid/admissions-information/scholarships#undergradscholarships,Scott Scholarship: For business majors; requires US Citizenship. Next Generation Leaders: Full-tuition award for domestic and international students. Requires a separate application by January 10 after submitting the admission application.,$0,$17.652,Requires application,"72,4%","43,7%",20%,9%,426,186,17,64%,Early Action Only,,early_admission
Dartmouth College,Hanover,NH,New Hampshire,Private,Northeast (New England),,Town: Remote,5K - 10K,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,$0,$68.019,$19.749,$91.768,Need,418,69%,$81.378,$7.142,$34.0m,Yes (Need-blind),,,,,,,,"5,3%",,67%,,8898,-,174,"3,58%",Early Decision only,,early_admission
Davidson College,Davidson,SC,South Carolina,Private,Southeast (Deep South),,Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,$0,$64.160,$17.100,$85.260,Both,118,64%,$58.700,$21.750,$6.9m,Yes (Need-aware),Full ride+stipend,William Holt Terry Scholarship and Berk Scholarship,https://www.davidson.edu/admission-and-financial-aid/financial-aid/types-financial-aid/scholarships/nomination-scholarships,These are nomination-based scholarships. Students must be nominated by their Head of School or Counselor. They cannot self-apply. Finalists are chosen from the nominee pool.,$0,-$1.000,Automatic consideration,"14,5%","4,5%",49%,47%,2756,125,59,"11,2%",Early Decision only,Yes,early_admission
Denison University,Granville,OH,Ohio,Private,Midwest (Great Lakes),,Suburb: Small,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,Off-campus,1-Historically,$0,$67.000,$16.400,$87.400,Both,393,96%,$45.198,$38.202,$18.5m,Yes (Need-aware),Full Tuition,Not specified,https://denison.edu/campus/finances/types-of-scholarships-aid,"All applicants, including international students, are automatically considered for merit-based scholarships ranging up to full tuition. No separate application is required. Awards are announced at the time of admission.",$0,$20.400,Automatic consideration,"16,9%",,26%,-,,-,-,"16,3%",Early Decision only,Yes,early_admission
DePaul University,Chicago,IL,Illinois,Private,Midwest (Great Lakes),"Chicago, IL",City: Large,20K+,Coeducational,No,Professional,Majority,On-campus,3-Somewhat,$45.000,$45.999,$19.095,$69.094,Merit,328,63%,$18.286,$48.642,$6.0m,N/A,$25.000,DePaul Freshman Scholarship,https://www.depaul.edu/admission-and-aid/Pages/scholarships.aspx,All first-year applicants are automatically considered for Merit Scholarships based on academic achievement in their admission application.,$20.999,$44.094,Automatic consideration,74%,,12%,-,,-,-,74%,Early Action Only,,early_admission
DePauw University,Greencastle,IN,Indiana,Private,Midwest (Great Lakes),,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,$20.000,$59.070,$15.330,$78.400,Both,404,98%,$39.437,$36.483,$15.9m,No,Full Tuition,Rector Scholarship,https://www.depauw.edu/admission-aid/apply/international-applicants/international-students/scholarships-and-financial-aid-for-international-students/,The Rector Scholarship is DePauw's oldest and most prestigious merit award. All applicants are automatically considered with their admission application. No separate application is needed.,$0,$19.330,Requires application,54%,27%,13%,-,,-,-,54%,Both,Yes,early_admission
Dickinson College,Carlisle,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),,City: Small,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$0,$65.650,$17.100,$86.750,Both,279,98%,$52.697,$31.253,$14.7m,Yes (Need-aware),$45.000,Presidential Scholarship,https://www.dickinson.edu/homepage/511/grants_and_scholarships,A merit-based scholarship awarded to a select group of the most outstanding applicants. Consideration is automatic with the admission application. No separate scholarship application is required.,$20.650,$41.750,Requires application,"43,1%","14,2%",17%,28%,2068,293,83,"43,0%",Early Decision only,Yes,early_admission
Drake University,Des Moines,IA,Iowa,Private,Midwest (Great Plains),,City: Midsize,1K - 9K,Coeducational,No,Balanced,Majority,On-campus,2-Slightly,$35.000,$52.130,$12.452,$68.582,Both,101,98%,$26.455,$39.347,$2.7m,No,$34.000,Presidential Scholarships,https://www.drake.edu/admission/first-yearstudents/costsfinancialaid/scholarships/presidential/,"All full-time, first-year students admitted directly from high school automatically receive a Presidential Scholarship based on academic achievement. No separate application is needed.",$18.130,$34.582,Automatic consideration,65%,19%,13%,-,,-,-,65%,Early Action Only,,early_admission
Drew University,Madison,NJ,New Jersey,Private,Northeast (Mid-Atlantic),New York City,Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,High,On-campus,2-Slightly,$45.000,$47.100,$17.640,$68.740,Both,No data,No data,No data,,,No,$30.000,Francis Asbury Scholarship,https://drew.edu/academics/undergraduate-studies/honors/,This scholarship is for students admitted to the Baldwin Honors Program. Consideration for the program (and associated scholarship) is automatic for all applicants who apply by the priority deadline.,$17.100,$38.740,Automatic consideration,69%,32%,13%,-,,-,,69%,Both,,early_admission
Drexel University,Philadelphia,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),"Philadelphia, PA",City: Large,20K+,Coeducational,No,Professional,Majority,On-campus,0-None,$25.000,$62.412,$18.096,$84.508,Both,1.169,100%,$31.525,,,No,Full Tuition,Global Scholars Program,https://drexel.edu/drexelcentral/finaid/grants/undergraduate-scholarships/,"A competitive, full-tuition scholarship for a select number of international students. Applicants must submit a separate application and essay.",$0,$22.096,Requires application,"77,5%","69,3%",9%,6%,9057,6278,353,"64,5%",Both,,early_admission
Duke University,Durham,NC,North Carolina,Private,Southeast,"Raleigh, NC",City: Large,10K - 20K,Coeducational,No,Arts and Sciences,Minority,On-campus,2-Slightly,$0,$69.140,$19.799,$92.939,Both,177,27%,$83.486,$3.777,$14.8m,Yes (Need-aware),Full ride,"Karsh International Scholarship, Robertson Scholarship",https://ousf.duke.edu/merit-scholarships/robertson-scholars-program/+%7C+https://ousf.duke.edu/merit-scholarships/karsh-international-scholars-program/,"Karsh: Fully funded scholarship for international students with demonstrated financial need. No separate application; apply for admission and financial aid. Robertson: Separate, extensive application process. Leadership-focused program for students at Duke and UNC-Chapel Hill.",$0,$4.000,Automatic consideration,"5,1%",4%,55%,-,,-,,"4,1%",Early Decision only,,early_admission
Duquesne University,Pittsburgh,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),,City: Large,5K - 10K,Coeducational,No,Professional,Majority,On-campus,3-Somewhat,$45.000,$48.986,$16.374,$69.360,Merit,108,79%,$30.910,$35.856,$3.3m,N/A,$25.000,Duquesne Academic Scholarships,https://www.duq.edu/admission-and-aid/paying-for-school/affordability/your-success.php,All first-year applicants are automatically considered for academic scholarships at the time of admission based on their academic record. No separate application is required.,$23.986,$44.360,Automatic consideration,"78,9%","45,2%",13%,4%,1950,882,38,65%,Early Action Only,,early_admission
earlham College,Richmond,IN,Indiana,Private,Midwest (Great Lakes),,Town: Distant,<1K,Coeducational,No,Arts and Sciences,Very High,On-campus,2-Slightly,$35.000,$53.930,$13.985,$71.915,Both,114,98%,$36.827,$32.206,$4.2m,No,$37.000,Presidential Scholarship,https://earlham.edu/admissions/how-to-apply/international-admissions/,earlham's most prestigious merit-based scholarship. International applicants are automatically considered when they apply for admission by the deadline.,$16.930,$34.915,Automatic consideration,"74,2%","35,3%",15%,11%,604,213,24,"63,8%",Early Action Only,,early_admission
Eckerd College,St. Petersburg,FL,Florida,Private,Southeast,,City: Large,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,$35.000,$51.884,$14.734,$70.618,Both,72,99%,$37.152,$31.490,$2.7m,No,$22.000,International Student Grant,https://www.eckerd.edu/admissions/financial-aid/types/,Awarded to eligible international students based on demonstrated financial need. Students must complete the Eckerd College Application for Financial Aid for International Students to be considered.,$29.884,$48.618,Automatic consideration,69%,,15%,-,,-,-,59%,Early Action Only,,early_admission
Elmhurst University,Elmhurst,IL,Illinois,Private,Midwest (Great Lakes),"Chicago, IL",Suburb: Large,1K - 9K,Coeducational,No,Balanced,High,On-campus,2-Slightly,$45.000,$42.955,$14.528,$61.483,Merit,98,91%,$30.268,,$3.0m,N/A,$22.000,Presidential Scholarship,https://www.elmhurst.edu/admission/financial-aid/types-aid/scholarships-other-awards/,The highest Merit Scholarship offered. All first-year students are automatically considered upon admission. No separate application is required.,$20.955,$39.483,Automatic consideration,74%,47%,13%,,,,,59%,Early Action Only,,early_admission
Elmira College,Elmira,NY,New York,Private,Northeast (Mid-Atlantic),,City: Small,<1K,Coeducational,No,Professional,Very High,On-campus,1-Historically,$35.000,$40.896,$14.550,$59.446,Both,41,93%,$24.757,$31.165,$1.0m,,,,,,,,-,91%,88%,9%,-,,-,,96%,Early Action Only,,early_admission
Elon University,Elon,NC,North Carolina,Private,Southeast,,Suburb: Midsize,5K - 10K,Coeducational,No,Professional,High,On-campus,2-Slightly,$35.000,$46.958,$14.985,$65.943,Merit,87,61%,$31.388,$31.626,$2.7m,N/A,$10.000,International Scholar Award,https://www.elon.edu/u/admissions/undergraduate/financial-aid/scholarships/merit-based-scholarships/,Awarded to select international students based on academic merit and country of origin. No separate application is required; consideration is automatic with the admission application.,$36.958,$55.943,Automatic consideration,"67,3%","58,6%",13%,11%,572,335,38,"80,6%",Both,,early_admission
Emory University,Atlanta,GA,Georgia,Private,Southeast (Deep South),,City: Large,10K - 20K,Coeducational,No,Arts and Sciences,Majority,On-campus,2-Slightly,$5.000,$64.280,$20.220,$88.500,Both,66,6%,$56.780,$26.966,$3.7m,No,Full ride,Emory College Woodruff Scholars,https://studentaid.emory.edu/undergraduate/apply/new-students/international.html,"Emory offers need-based aid and merit-based scholarships to international students. To be considered for merit awards like the Woodruff Scholarship, students must select one of the scholar programs on their application and submit required essays.",$0,$4.000,Requires application,"10,0%","6,6%",40%,50%,7548,498,248,"8,8%",Early Decision only,Yes,early_admission
Fairfield University,Fairfield,CT,Connecticut,Private,Northeast (New England),New York City,Suburb: Large,5K - 10K,Coeducational,No,Professional,High,On-campus,3-Somewhat,$20.000,$58.350,$18.980,$81.330,Both,89,90%,$57.499,$20.261,$5.1m,No,$28.500,,,,$29.850,$52.830,Automatic consideration,"45,0%","9,9%",21%,32%,638,63,20,"39,8%",Both,,early_admission
