;;Deadlines Information;Deadlines Information;Deadlines Information;Deadlines Information;Deadlines Information;Deadlines Information;App Fees²;App Fees²;Common App;Common App;Supplements;Supplements;Minimum Standard Test Policy⁷;Minimum Standard Test Policy⁷;Minimum Standard Test Policy⁷;Recommendations⁸;Recommendations⁸;Recommendations⁸;Recommendations⁸;Recommendations⁸
Tusculum University;Coed;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;C or D or I or T;;;;;
Tuskegee University;Coed;;;;;;Rolling;25;35;Yes;;;;S;SAT without Essay or ACT without Essay;See Website;;;;Y;Y
UMBC: University of Maryland, Baltimore County;Coed;;;11/1/2024;;;2025-02-01;75;75;Yes;;SR;Yes;N;None;See Website;;;;;Y
Union College;Coed;11/1/2024;1/15/2025;11/1/2024;;;2025-01-15;60;0;Yes;;SR;;S;See Website;See Website;1;;Y;Y;
Universidad Carlos III de Madrid;Coed;;;;;;Rolling;100;100;;;;;F;SAT without Essay or ACT without Essay;See Website;;;;;
Universidad del Sagrado Corazon;Coed;;;;;;Rolling;0;0;;;;;A;SAT without Essay or ACT without Essay;See Website;;;Y;Y;Y
University College Dublin;Coed;;;;;;Rolling;75;75;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
University of Aberdeen;Coed;;;;;;Rolling;75;75;Yes;;;;A;See Website;I or T or P;1;;Y;Y;Y
University of Akron;Coed;;;11/1/2024;;;Rolling;0;0;;;;;F;SAT without Essay or ACT without Essay;C or D or I or T;;;;;Y
University of Alabama at Birmingham (UAB);Coed;;;;;;Rolling;40;40;;;;;F;SAT without Essay or ACT without Essay;;;;;;
University of Alaska Fairbanks;Coed;;;;;;Rolling;0;0;;Yes;;;N;None;See Website;;;;;
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
University of Arkansas;Coed;;;;;;Rolling;55;65;;;;;S;See Website;See Website;;;;;Y
University of Bradford;Coed;;;;;;Rolling;0;0;Yes;;;;A;See Website;See Website;1;;;Y;Y
University of Bridgeport;Coed;;;12/1/2024;2/1/2025;;Rolling;0;0;Yes;;;;N;None;See Website;;;;Y;
University of Central Arkansas;Coed;;;;;;Rolling;25;50;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;
University of Central Florida;Coed;;;10/22/2024;;;Rolling;30;30;;;;;A;See Website;See Website;;;;;Y
University of Central Missouri;Coed;;;;;;Rolling;30;75;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;
University of Charleston;Coed;;;;;;Rolling;0;0;;Yes;;;S;SAT without Essay or ACT without Essay;C or D or I or T;;;;;Y
University of Chicago;Coed;11/1/2024;1/6/2025;11/1/2024;;;2025-01-06;75;75;Yes;;;Yes;N;See Website;See Website;2;;Y;;Y
University of Cincinnati;Coed;;;12/1/2024;;;Rolling;50;100;Yes;;;;N;None;See Website;;;;;Y
University of Colorado Boulder;Coed;;;11/15/2024;;;2025-01-15;65;70;Yes;;;;N;SAT without Essay or ACT without Essay;See Website;1;;;;
University of Colorado Colorado Springs;Coed;;;;;;Rolling;50;60;;;;;N;SAT without Essay or ACT without Essay;;;;;;Y
University of Colorado Denver;Coed;;;;;;Rolling;50;75;;;;;F;SAT without Essay or ACT without Essay;See Website;;;;;
University of Connecticut;Coed;11/1/2024;;;;;2025-01-15;80;80;Yes;;SR;;N;None;See Website;;;;;
University of Dallas;Coed;;;11/1/2024;12/1/2024;;2025-03-01;50;50;Yes;;;;A;See Website;See Website;;;;Y;Y
University of Dayton;Coed;;;11/1/2024;;;2025-02-01;0;0;Yes;;;;N;SAT without Essay or ACT without Essay;See Website;;;;;Y
University of Delaware;Coed;;;11/1/2024;;;2025-03-01;75;75;Yes;;;;F;SAT without Essay or ACT without Essay;See Website;;;;;Y
University of Denver;Coed;11/1/2024;1/15/2025;11/1/2024;;;2025-01-15;65;65;Yes;;;;S;SAT without Essay or ACT without Essay;I or T;;;;Y;
University of Detroit Mercy;Coed;;;11/1/2024;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;
University of Dubuque;Coed;;;;;;Rolling;0;0;;;;;N;None;;;;;;
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
University of Dundee;Coed;;;;;;Rolling;0;0;Yes;Yes;;;I;SAT without Essay or ACT without Essay;See Website;;;;;Y
University of East London;Coed;;;;;;Rolling;0;0;Yes;;;;F;SAT with Essay or ACT with Essay;See Website;;;;;Y
University of Evansville;Coed;;;11/1/2024;;;Rolling;0;50;;;;Yes;S;SAT with Essay or ACT with Essay;;;;;;Y
University of Florida;Coed;;;11/1/2024;;;2025-01-15;30;30;Yes;;;;A;See Website;See Website;;;;;
University of Georgia;Coed;;;10/15/2024;;;2025-01-01;70;85;Yes;;;;A;SAT without Essay or ACT without Essay;I or T;;;;;
University of Glasgow;Coed;;;;;;Rolling;0;0;;Yes;;;F;See Website;I or T or P;1;;;;Y
University of Guelph;Coed;;;1/15/2025;;;2025-03-01;90;90;;Yes;;;S;See Website;See Website;;;Y;;
University of Hartford;Coed;;;11/15/2024;12/15/2024;;Rolling;0;0;Yes;;SR;;F;SAT without Essay or ACT without Essay;;;;;Y;Y
University of Health Sciences and Pharmacy;Coed;;;;;;Rolling;0;50;;;;;N;None;;;;;;Y
University of Holy Cross;Coed;;;;;;2025-06-27;0;0;;;;;N;None;I or T;;;;;
University of Houston;Coed;;;;;;2025-06-02;75;90;Yes;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;
University of Idaho;Coed;;;;;;Rolling;50;50;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;
University of Illinois Chicago;Coed;;;11/1/2024;;;2025-02-03;60;160;Yes;;;;N;SAT without Essay or ACT without Essay;I or T or P;;;Y;;Y
University of Illinois Springfield;Coed;;;12/1/2024;;;Rolling;0;0;Yes;;;;I;None;See Website;;;;;Y
University of Illinois Urbana-Champaign;Coed;;;11/1/2024;;;2025-01-05;50;75;Yes;;;;N;See Website;;;;;;
University of Indianapolis;Coed;;;;;;Rolling;0;0;;;;;I;None;I or T;;;;;Y
University of Iowa;Coed;;;11/1/2024;;;2025-03-01;55;80;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
University of Kansas;Coed;;;;;;Rolling;40;90;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;
University of Kentucky;Coed;;;12/1/2024;;;Rolling;50;60;Yes;;;;S;SAT without Essay or ACT without Essay;See Website;;;Y;;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
University of La Verne;Coed;;;;;;Rolling;50;50;Yes;;;;N;None;;;;;;
University of Limerick;Coed;;;;;;Rolling;50;50;;Yes;;;A;SAT without Essay or ACT without Essay;See Website;;;Y;;Y
University of Louisville;Coed;;;;;;Rolling;30;30;;;;;N;See Website;;;;;;Y
University of Lynchburg;Coed;11/15/2024;;;;;Rolling;0;0;;;;;I;SAT without Essay or ACT without Essay;See Website;;;;;
University of Maine;Coed;;;12/1/2024;;;Rolling;0;0;;;;;N;None;;;;;;Y
University of Maine at Augusta;Coed;;;;;;Rolling;0;0;;;;;N;None;I or T;;;;;Y
University of Maine at Farmington;Coed;;;12/1/2024;;;Rolling;0;0;Yes;;;;N;None;;;;;Y;Y
University of Maine at Fort Kent;Coed;;;;;;Rolling;0;0;;;;;N;None;;;;;;Y
University of Maine at Presque Isle;Coed;;;;;;Rolling;0;0;;;;;N;None;;;;;;Y
University of Mary Hardin-Baylor;Coed;;;;;;Rolling;0;0;;;;;S;None;See Website;;;;;
University of Mary Washington;Coed;11/1/2024;;11/15/2024;;;2025-02-01;50;50;Yes;;;;S;SAT without Essay or ACT without Essay;I or T;;;;;
University of Maryland;Coed;;;11/1/2024;;;2025-01-20;75;75;Yes;;;;F;SAT without Essay or ACT without Essay;See Website;1;;;Y;Y
University of Maryland Eastern Shore;Coed;;;;;;Rolling;35;35;;;;;S;None;See Website;;;;;
University of Massachusetts Amherst;Coed;;;11/5/2024;;;2025-01-15;85;85;Yes;;SR;;N;None;I or T;;;Y;Y;Y
University of Massachusetts Boston;Coed;;;11/1/2024;1/1/2025;;2025-02-15;60;60;Yes;;;;S;SAT without Essay or ACT without Essay;;;;;Y;Y
University of Massachusetts Dartmouth;Coed;;;11/15/2024;;;Rolling;60;60;;;;;F;SAT without Essay or ACT without Essay;See Website;;;;;Y
University of Massachusetts Lowell;Coed;;;11/5/2024;1/5/2025;;2025-02-05;70;70;Yes;;SR;;S;SAT without Essay or ACT without Essay;See Website;1;;Y;;Y
University of Miami;Coed;11/1/2024;1/6/2025;11/1/2024;;;2025-01-06;70;70;Yes;;;;N;SAT without Essay or ACT without Essay;;;;;Y;Y
University of Michigan;Coed;;;11/1/2024;;;2025-02-01;75;75;Yes;;SR;;F;SAT without Essay or ACT without Essay;See Website;1;;;;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
University of Michigan - Shanghai Jiao Tong University Joint Institute;Coed;;;11/15/2024;;;Rolling;75;75;Yes;Yes;;Yes;F;SAT with Essay or ACT with Essay;See Website;1;;Y;Y;Y
University of Michigan- Flint;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;Y
University of Minnesota Crookston;Coed;;;;;;Rolling;30;30;;;;;N;None;C or D or I or T;;;;;Y
University of Minnesota Duluth;Coed;;;;;;Rolling;40;50;;;;;N;SAT without Essay or ACT without Essay;;;;;;Y
University of Minnesota Morris;Coed;;;11/1/2024;12/15/2024;;Rolling;30;30;;;;;S;SAT without Essay or ACT without Essay;;;;;;Y
University of Minnesota Rochester;Coed;;;;;;Rolling;30;30;;;;;N;None;See Website;;;;;Y
University of Minnesota Twin Cities;Coed;;;11/1/2024;12/1/2024;;2025-01-01;55;55;;Yes;;;N;None;C or D or I or T;;;;;Y
University of Missouri;Coed;;;;;;Rolling;55;65;Yes;;;;S;SAT without Essay or ACT without Essay;I or T or P;;;;;Y
University of Missouri- Kansas City;Coed;;;;;;Rolling;45;75;;Yes;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
University of Missouri-St Louis;Coed;;;;;;Rolling;0;40;;;;;F;SAT without Essay or ACT without Essay;See Website;;;;;Y
University of Montana;Coed;;;;;;Rolling;30;30;;;;;F;None;;;;;;
University of Mount Saint Vincent;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
University of Mount Union;Coed;;;;;;Rolling;0;0;Yes;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
University of Nebraska- Lincoln;Coed;;;;;;Rolling;45;45;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;
University of Nevada, Las Vegas (UNLV);Coed;;;;;;Rolling;60;95;;;;;F;See Website;I or T or P;;;;;
University of Nevada- Reno;Coed;;;;;;2025-04-07;0;95;;;;;N;None;See Website;;;;;
University of New England;Coed;;;11/15/2024;;;2025-02-15;40;40;Yes;;;;N;None;See Website;;;Y;Y;
University of New Hampshire;Coed;;;11/15/2024;;;2025-02-01;50;65;Yes;;;;N;None;;;;Y;Y;Y
University of New Haven;Coed;12/1/2024;;12/15/2024;2/15/2025;;2025-07-28;50;50;Yes;;SR;;S;SAT without Essay or ACT without Essay;See Website;;;;;
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
University of New Mexico;Coed;;;;;;2025-06-01;25;50;;Yes;;;F;None;See Website;;;;;
University of New Orleans;Coed;;;;;;Rolling;0;0;;;;;N;SAT without Essay or ACT without Essay;See Website;;;;;
University of North Carolina Asheville;Coed;;;11/1/2024;;;2025-02-01;75;75;;;;;S;See Website;;;;;;Y
University of North Carolina at Chapel Hill;Coed;;;10/15/2024;;;2025-01-15;85;85;Yes;;;;S;See Website;See Website;1;;Y;;Y
University of North Carolina at Charlotte;Coed;;;11/1/2024;;;2025-02-01;75;80;Yes;;;;S;See Website;See Website;;;;;
University of North Carolina at Pembroke;Coed;;;;;;2025-05-01;45;45;;;;;S;SAT without Essay or ACT without Essay;;;;;;
University of North Carolina Greensboro;Coed;;;11/1/2024;;;2025-03-01;65;65;;;;;N;SAT without Essay or ACT without Essay;See Website;;;;;Y
University of North Carolina Wilmington;Coed;;;11/1/2024;;;2025-02-01;80;80;Yes;;;;S;SAT without Essay or ACT without Essay;C or D or I or T;;;Y;;
University of North Dakota;Coed;;;;;;Rolling;35;35;;;;;N;See Website;;;;;;Y
University of North Florida;Coed;;;;;;Rolling;30;30;;;;;A;SAT without Essay or ACT without Essay;See Website;;;;;
University of North Georgia;Coed;;;11/15/2024;;;2025-02-15;40;40;;;;;A;SAT without Essay or ACT without Essay;See Website;;;;;
University of North Texas;Coed;;;;;;Rolling;75;85;;;;;N;See Website;See Website;;;;;Y
University of Northern Colorado;Coed;;;12/1/2024;;;2025-03-01;50;50;;;;;F;None;See Website;;;;;Y
University of Northern Iowa;Coed;;;;;;Rolling;40;50;;;;;N;None;;;;;;Y
University of Northwestern-St. Paul;Coed;;;;;;2025-07-30;0;0;;;;;S;SAT without Essay or ACT without Essay;I or T;;;;;Y
University of Notre Dame;Coed;;;;;11/1/2024;2025-01-03;75;75;Yes;;SR;;N;SAT without Essay or ACT without Essay;See Website;1;;Y;;Y
University of Oregon;Coed;;;11/1/2024;;;2025-01-15;65;75;Yes;Yes;SR;;N;See Website;See Website;;;;;Y
University of Pennsylvania;Coed;11/1/2024;;;;;2025-01-05;75;75;Yes;;;Yes;N;See Website;See Website;1;;Y;Y;Y
University of Pittsburgh;Coed;;;;;;Rolling;55;55;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
University of Plymouth;Coed;;;;;;Rolling;0;0;Yes;;;Yes;I;None;See Website;1;;;;
University of Portland;Coed;;;12/1/2024;;;2025-02-15;0;0;;;;;N;None;See Website;;;;;
University of Puget Sound;Coed;11/1/2024;;11/1/2024;;;2025-01-15;65;65;Yes;;;;S;SAT without Essay or ACT without Essay;See Website;1;;Y;Y;
University of Redlands;Coed;;;11/15/2024;;;2025-01-15;0;0;Yes;;;;S;SAT without Essay or ACT without Essay;;1;;Y;;Y
University of Rhode Island;Coed;11/1/2024;;12/1/2024;;;2025-02-01;65;65;Yes;;;;N;SAT without Essay or ACT without Essay;;;;;Y;Y
University of Richmond;Coed;11/1/2024;1/1/2025;11/1/2024;;;2025-01-01;50;50;Yes;;;Yes;S;SAT without Essay or ACT without Essay;See Website;;;Y;Y;Y
University of Rochester;Coed;11/1/2024;1/5/2025;;;;2025-01-05;50;50;Yes;;;;N;See Website;;1;;Y;Y;Y
University of Roehampton, London;Coed;;;;;;Rolling;35;35;Yes;Yes;;;N;None;See Website;1;;;Y;Y
University of Saint Francis-Fort Wayne Indiana;Coed;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
University of Saint Joseph;Coed;10/15/2024;;11/1/2024;;;2025-07-28;0;0;Yes;;;;N;None;See Website;;;;Y;Y
University of San Diego;Coed;;;;;;2024-12-01;55;55;Yes;;;;I;None;See Website;;;Y;Y;Y
University of San Francisco;Coed;11/11/2024;1/15/2025;11/11/2024;;;2025-01-24;70;70;Yes;;;;N;SAT without Essay or ACT without Essay;See Website;;;Y;;Y
University of Science and Arts of Oklahoma;Coed;;;;;;2025-07-01;0;0;Yes;;;;S;SAT without Essay or ACT without Essay;I or T;;;;;
University of Sioux Falls;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
University of South Carolina Columbia;Coed;;;10/15/2024;;;2024-12-01;65;100;Yes;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
University of South Dakota;Coed;;;;;;Rolling;20;20;;;;;S;None;See Website;;;;;
University of South Florida;Coed;;;;;;Rolling;30;30;;;;;A;See Website;See Website;;;;;
University of Southern California;Coed;;;11/1/2024;;;2025-01-15;85;85;Yes;Yes;SR;;N;None;See Website;;;Y;Y;
University of Southern Indiana;Coed;;;;;;Rolling;40;40;;;;;F;See Website;See Website;;;;;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
University of Southern Maine;Coed;;;12/1/2024;;;Rolling;0;0;;;;;N;None;;;;;;Y
University of Southern Mississippi;Coed;;;;;;Rolling;45;45;;;;;S;SAT without Essay or ACT without Essay;C or I or T;;;Y;;
University of St Andrews;Coed;;;;;;Rolling;75;75;;;;;F;See Website;See Website;1;;Y;Y;Y
University of St. Thomas (MN);Coed;;;11/1/2024;;;2025-01-15;0;0;;;;;N;See Website;See Website;;;;;
"University of St. Thomas
- Houston";Coed;;;;;;2025-07-29;0;0;Yes;;;;F;See Website;See Website;;;;;
University of Stirling;Coed;;;;;;Rolling;0;0;Yes;;;Yes;S;See Website;See Website;1;;;Y;Y
University of Tampa;Coed;11/1/2024;;11/15/2024;;;2025-02-01;40;40;Yes;;;;N;None;See Website;;;;;Y
University of the District of Columbia;Coed;;;;;;2025-07-28;0;0;;;;;F;SAT with Essay or ACT with Essay;;;;;;
University of the Incarnate Word;Coed;;;;;;Rolling;0;0;;;;;N;See Website;See Website;;;;;
University of the Pacific;Coed;;;11/15/2024;;;2025-01-15;55;55;Yes;;;;N;None;See Website;;;;;Y
University of the Virgin Islands;Coed;;;;;;2025-04-30;0;0;;;;;N;None;;;;;;
University of the West;Coed;;;;;;Rolling;0;100;Yes;;;Yes;N;None;See Website;;;;;Y
University of the West of England (UWE), Bristol;Coed;;;;;;Rolling;0;0;;Yes;;;S;See Website;See Website;;;Y;Y;Y
University of Vermont;Coed;11/1/2024;1/15/2025;11/1/2024;;;1/15/2025;55;55;Yes;;;;N;SAT without Essay or ACT without Essay;See Website;;;Y;Y;Y
University of Virginia;Coed;11/1/2024;;11/1/2024;;;1/5/2025;75;75;Yes;;SR;;N;None;See Website;1;;Y;;
University of Washington;Coed;;;;;;2024-11-15;80;90;;Yes;;;S;See Website;See Website;;;;;
University of Washington Bothell;Coed;;;11/15/2024;;;2025-01-15;60;75;Yes;Yes;;;N;None;See Website;;;;;
University of Washington Tacoma;Coed;;;11/15/2024;;;2025-05-31;60;75;Yes;Yes;;;N;None;See Website;;;;;
"University of Wisconsin
- Parkside";Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
"University of Wisconsin
- River Falls";Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
University of Wisconsin- Eau Claire;Coed;;;;;;Rolling;25;25;;;;;N;See Website;See Website;;;;;Y
University of Wisconsin- Madison;Coed;;;11/1/2024;;;2025-01-15;70;70;Yes;Yes;;;N;SAT without Essay or ACT without Essay;;1;;;;Y
University of Wisconsin- Milwaukee;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;Y
University of Wisconsin- Stout;Coed;;;;;;Rolling;0;0;;Yes;;;N;See Website;See Website;;;;;Y
University of Wisconsin- Whitewater;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
University of Worcester (UK);Coed;;;;;;Rolling;0;0;;Yes;;;N;None;C or D or I or T or P;;1;;Y;Y
University of Wyoming;Coed;;;;;;Rolling;40;40;;;;;S;See Website;See Website;;;;;
Ursuline College;Women;;;;;;Rolling;0;0;Yes;;;;N;SAT without Essay or ACT without Essay;;;;;;Y
Utah State University;Coed;;;12/2/2024;;;7/29/2025;50;50;;;;;F;See Website;See Website;;;;;
Utah Tech University;Coed;;;;;;Rolling;35;75;;;;;F;See Website;;;;Y;;
Utica University;Coed;11/1/2024;;11/15/2024;12/15/2024;;Rolling;40;40;Yes;;;;N;None;;;;Y;Y;
Valparaiso University;Coed;;;;;;Rolling;0;0;;;;;N;None;;;;;;Y
Vanderbilt University;Coed;11/1/2024;1/1/2025;;;;1/1/2025;50;50;Yes;;;;N;SAT without Essay or ACT without Essay;See Website;2;;Y;Y;
Vassar College;Coed;11/15/2024;1/5/2025;;;;2025-01-06;65;65;Yes;;SR;;N;SAT without Essay or ACT without Essay;;1;;Y;Y;
Vaughn College of Aeronautics and Technology;Coed;;;;;;Rolling;40;40;;;;;F;See Website;I or T;;;;;
Vermont State University;Coed;;;;;;Rolling;45;45;;;;;N;See Website;See Website;;;;;
Villa Maria College;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
Villanova University;Coed;11/1/2024;1/15/2025;11/1/2024;;;2025-01-15;80;80;Yes;;;;N;None;C or D or I or T;1;;Y;;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Vincennes University;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
Virginia Commonwealth University;Coed;;;;;;Rolling;75;75;Yes;;;;S;SAT without Essay or ACT without Essay;;;;;;Y
Virginia Military Institute;Coed;11/15/2024;;;;;2/1/2025;0;0;;;;;N;None;I or T;;;;Y;
Virginia Tech;Coed;;;11/15/2024;;;1/15/2025;60;70;;;;;N;None;;;;;;Y
Virginia Wesleyan University;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;Y
Viterbo University;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
Wabash College;Men;11/15/2024;;12/1/2024;;;1/15/2025;0;0;;;;;N;None;See Website;;;;Y;Y
Wagner College;Coed;;;11/15/2024;;;2025-02-15;60;60;;;;;S;SAT without Essay or ACT without Essay;I or T;1;;;Y;Y
Wake Forest University;Coed;11/15/2024;1/1/2025;11/15/2024;;;1/1/2025;85;85;Yes;;;;N;SAT without Essay or ACT without Essay;;1;;;Y;
Walsh University;Coed;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;I or T or P;;;;;Y
Warner Pacific University;Coed;;;;;;Rolling;0;0;;;;;N;None;;;;;;
Warren Wilson College;Coed;11/1/2024;;11/15/2024;;;2/1/2025;0;0;Yes;;;;N;None;See Website;;;;Y;Y
Wartburg College;Coed;;;;;;Rolling;0;0;;;;;N;None;;;;;;Y
Washington Adventist University;Coed;;;;;;Rolling;0;0;;;;;N;None;;;;;;
Washington and Lee University;Coed;11/1/2024;1/1/2025;;;;2025-01-01;60;60;Yes;;COL;;N;SAT without Essay or ACT without Essay;See Website;2;;Y;Y;Y
Washington College;Coed;11/15/2024;;12/1/2024;;;2/15/2025;0;0;Yes;;;;S;See Website;;1;;Y;Y;
Washington State University;Coed;;;;;;Rolling;70;70;;;;;I;None;See Website;;;;;
Washington University in St. Louis;Coed;11/1/2024;1/2/2025;;;;2025-01-02;75;75;Yes;;SR;Yes;N;SAT without Essay or ACT without Essay;See Website;1;;Y;Y;Y
Wayne State University;Coed;;;;;;Rolling;25;25;;;;;F;SAT without Essay or ACT without Essay;I or T or P;;;;;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Waynesburg University;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
Webb Institute;Coed;10/16/2024;;;;;1/16/2025;70;70;Yes;;;;A;See Website;T;2;;Y;Y;
Webber International University;Coed;;;;;;Rolling;0;0;;;;;N;None;I or T;;;;;Y
Webster University;Coed;;;;;;Rolling;0;0;;;;;N;None;C or D or I or T;;;;;Y
Wellesley College;Women;11/1/2024;1/1/2025;;;;2025-01-08;0;0;Yes;;;Yes;N;See Website;See Website;2;;Y;;
Wentworth Institute of Technology;Coed;;;11/15/2024;1/1/2025;;2025-02-01;50;50;Yes;;;;N;None;See Website;;;;;Y
Wesleyan College;Women;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;;;;;;
Wesleyan University;Coed;11/15/2024;1/1/2025;;;;2025-01-01;65;65;Yes;;SR;;N;None;I or T;2;;Y;Y;Y
West Chester University of Pennsylvania;Coed;;;;;;Rolling;45;45;;;;Yes;N;None;See Website;;;;;Y
West Virginia State University;Coed;;;;;;Rolling;0;0;;;;;F;SAT without Essay or ACT without Essay;T;;;;;
West Virginia University;Coed;;;;;;Rolling;50;65;;;;;S;See Website;See Website;;;;;Y
West Virginia Wesleyan College;Coed;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
Western Carolina University;Coed;;;11/1/2024;;;2025-02-01;65;65;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;
Western Colorado University;Coed;;;;;;Rolling;0;0;;;;;N;None;;;;;;Y
Western Connecticut State University;Coed;;;;;;Rolling;50;50;Yes;;;;N;SAT without Essay or ACT without Essay;See Website;;;;;Y
Western Illinois University;Coed;;;;;;Rolling;30;50;;;;;N;None;I or T;;;;;Y
Western Kentucky University;Coed;;;;;;Rolling;50;75;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;
Western Michigan University;Coed;;;12/15/2024;;;Rolling;40;100;;;;;N;None;See Website;;;;;Y
Western New England University;Coed;;;11/15/2024;2/15/2025;;Rolling;0;0;;;;;N;None;See Website;;;;;
